,loc,market_day,weekdays
1,lon-0_0984lat34_5969,1,2
2,lon-0_1611lat35_0727,1,"1, 4"
3,lon-0_2705lat34_9714,1,4
4,lon-0_3438lat34_8801,1,3
5,lon0_0828lat34_0457,1,2
6,lon0_128lat34_8609,1,"2, 5"
7,lon0_1971lat34_6969,1,5
8,lon0_2034lat34_6665,1,2
9,lon0_2067lat34_4904,1,1
10,lon0_2233lat34_0217,1,3
11,lon0_2307lat34_5242,1,"3, 6"
12,lon0_2799lat34_1194,1,4
13,lon0_2912lat34_6978,1,2
14,lon0_3015lat34_6234,1,3
15,lon0_3355lat34_6492,1,5
16,lon0_335lat34_8133,1,4
17,lon0_3606lat34_4016,1,"1, 4"
18,lon0_3615lat34_6235,1,4
19,lon0_3757lat34_8538,1,2
20,lon0_3816lat34_5842,1,2
21,lon0_3943lat34_6674,1,1
22,lon0_4218lat34_4254,1,"1, 4, 6"
23,lon0_4413lat34_7168,1,5
24,lon0_4471lat34_8539,1,5
25,lon0_453lat34_6138,1,"3, 6"
26,lon0_471lat34_315,1,5
27,lon0_4736lat34_7019,1,4
28,lon0_4818lat34_3863,1,1
29,lon0_4845lat34_7496,1,2
30,lon0_4886lat34_7036,1,1
31,lon0_4892lat34_8373,1,5
32,lon0_5214lat34_7107,1,2
33,lon0_5364lat34_4999,1,"1, 4"
34,lon0_5649lat34_3898,1,"3, 6"
35,lon0_5924lat34_4901,1,"0, 4"
36,lon0_604lat34_8756,1,1
37,lon0_6068lat34_8465,1,5
38,lon0_6072lat34_9631,1,"0, 4"
39,lon34_7697lat0_6017,1,3
40,lon0_6484lat34_5171,1,"2, 6"
41,lon0_6511lat34_8766,1,3
42,lon0_6563lat34_5907,1,3
43,lon0_6721lat35_1566,1,5
44,lon0_7134lat35_1064,1,1
45,lon0_7281lat34_8767,1,1
46,lon0_7748lat34_7176,1,4
47,lon0_7783lat34_79,1,2
48,lon0_8305lat35_0898,1,3
49,lon0_8342lat34_8647,1,5
50,lon0_8417lat34_9931,1,3
51,lon0_9405lat34_8114,1,4
52,lon0_9824lat35_2213,1,2
53,lon1_004lat34_9175,1,5
54,lon1_0312lat34_9975,1,5
55,lon1_0496lat35_2235,1,1
56,lon1_0954lat34_7714,1,1
57,lon1_1335lat34_8349,1,3
58,lon1_1357lat35_0567,1,1
59,lon1_1641lat35_1124,1,4
60,lon1_2148lat34_9039,1,5
